Element Count, std::sort_time, insertion_sort_time
2, 8e-05, 7.5e-05
3, 0.000183, 0.004029
4, 0.000267, 0.004113
5, 0.000366, 0.0042
6, 0.00049, 0.004312
7, 0.000624, 0.004434
8, 0.002, 0.005124
9, 0.002142, 0.005264
10, 0.002264, 0.005391
11, 0.002453, 0.00557
12, 0.002759, 0.005738
13, 0.00298, 0.005952
14, 0.003194, 0.008168
15, 0.003418, 0.008395
16, 0.003753, 0.008678
17, 0.004084, 0.00902
18, 0.004227, 0.00932
19, 0.004456, 0.009722
20, 0.004637, 0.010133
21, 0.004785, 0.010429
22, 0.004918, 0.010754
23, 0.005077, 0.011185
24, 0.005298, 0.011833
25, 0.005561, 0.012683
26, 0.005816, 0.013187
27, 0.006489, 0.014298
28, 0.006739, 0.01505
29, 0.006905, 0.015579
30, 0.00709, 0.016251
31, 0.007261, 0.016836
32, 0.007462, 0.017784
